_Eihop,_P0,hops,d,_R,_Nb
0.104,0.28,1,135,250,90
0.82,0.25,1,135,250,90
0.39,0.18,1,135,250,90
0.25,0.14,1,135,250,90
0.133,0.32,1,135,250,90
0.104,0.28,1,135,250,90
0.162,0.36,1,135,250,90
0.64,0.21,1,135,250,90
0.108,0.28,1,135,250,90
0.147,0.36,1,135,250,90
0.165,0.36,1,135,250,90
0.46,0.18,1,135,250,90
0.14,0.10,1,135,250,90
0.165,0.36,1,135,250,90
0.162,0.36,1,135,250,90
0.25,0.14,1,135,250,90
0.14,0.10,1,135,250,90
0.165,0.36,1,135,250,90
0.82,0.25,1,135,250,90
0.82,0.25,1,135,250,90
0.25,0.14,1,135,250,90
0.82,0.25,1,135,250,90
0.36,0.18,1,135,250,90
0.133,0.32,1,135,250,90
0.165,0.36,1,135,250,90
0.133,0.32,1,135,250,90
0.03,0.07,1,135,250,90
0.64,0.21,1,135,250,90
0.90,0.25,1,135,250,90
0.104,0.28,1,135,250,90
0.158,0.36,1,135,250,90
0.129,0.32,1,135,250,90
0.25,0.14,1,135,250,90
0.61,0.21,1,135,250,90
0.03,0.07,1,135,250,90
0.43,0.18,1,135,250,90
0.54,0.21,1,135,250,90
0.111,0.28,1,135,250,90
0.43,0.18,1,135,250,90
0.82,0.25,1,135,250,90
0.64,0.21,1,135,250,90
0.82,0.25,1,135,250,90
0.61,0.21,1,135,250,90
0.190,0.39,1,135,250,90
0.158,0.36,1,135,250,90
0.39,0.18,1,135,250,90
0.172,0.36,1,135,250,90
0.100,0.28,1,135,250,90
0.111,0.28,1,135,250,90
0.25,0.14,1,135,250,90
0.100,0.28,1,135,250,90
0.25,0.14,1,135,250,90
0.108,0.28,1,135,250,90
0.79,0.25,1,135,250,90
0.07,0.07,1,135,250,90
0.79,0.25,1,135,250,90
0.176,0.36,1,135,250,90
0.07,0.07,1,135,250,90
0.21,0.14,1,135,250,90
0.158,0.36,1,135,250,90
0.165,0.36,1,135,250,90
0.133,0.32,1,135,250,90
0.61,0.21,1,135,250,90
0.18,0.10,1,135,250,90
0.64,0.21,1,135,250,90
0.86,0.25,1,135,250,90
0.79,0.25,1,135,250,90
0.169,0.36,1,135,250,90
0.75,0.25,1,135,250,90
0.144,0.32,1,135,250,90
0.165,0.36,1,135,250,90
0.14,0.10,1,135,250,90
0.118,0.28,1,135,250,90
0.82,0.25,1,135,250,90
0.39,0.18,1,135,250,90
0.133,0.32,1,135,250,90
0.43,0.18,1,135,250,90
0.172,0.36,1,135,250,90
0.28,0.14,1,135,250,90
0.82,0.25,1,135,250,90
0.46,0.18,1,135,250,90
0.82,0.25,1,135,250,90
0.165,0.36,1,135,250,90
0.194,0.39,1,135,250,90
0.14,0.10,1,135,250,90
0.43,0.18,1,135,250,90
0.07,0.07,1,135,250,90
0.133,0.32,1,135,250,90
0.82,0.25,1,135,250,90
0.104,0.28,1,135,250,90
0.25,0.14,1,135,250,90
0.28,0.14,1,135,250,90
0.133,0.32,1,135,250,90
0.14,0.10,1,135,250,90
0.100,0.28,1,135,250,90
0.43,0.18,1,135,250,90
0.79,0.25,1,135,250,90
0.36,0.18,1,135,250,90
0.100,0.28,1,135,250,90
0.25,0.14,1,135,250,90
0.194,0.39,1,135,250,90
0.57,0.21,1,135,250,90
0.108,0.28,1,135,250,90
0.129,0.32,1,135,250,90
0.144,0.32,1,135,250,90
0.57,0.21,1,135,250,90
0.82,0.25,1,135,250,90
0.169,0.36,1,135,250,90
0.14,0.10,1,135,250,90
0.165,0.36,1,135,250,90
0.169,0.36,1,135,250,90
0.39,0.18,1,135,250,90
0.43,0.18,1,135,250,90
0.86,0.25,1,135,250,90
0.25,0.14,1,135,250,90
0.57,0.21,1,135,250,90
0.14,0.10,1,135,250,90
0.140,0.32,1,135,250,90
0.61,0.21,1,135,250,90
0.162,0.36,1,135,250,90
0.140,0.32,1,135,250,90
0.14,0.10,1,135,250,90
0.61,0.21,1,135,250,90
0.25,0.14,1,135,250,90
0.57,0.21,1,135,250,90
0.111,0.28,1,135,250,90
0.162,0.36,1,135,250,90
0.126,0.32,1,135,250,90
