_Eihop,_P0,hops,d,_R,_Nb
0.324,0.72,1,135,250,90
0.162,0.50,1,135,250,90
0.295,0.68,1,135,250,90
0.03,0.07,1,135,250,90
0.118,0.43,1,135,250,90
0.244,0.61,1,135,250,90
0.370,0.75,1,135,250,90
0.39,0.25,1,135,250,90
0.28,0.21,1,135,250,90
0.122,0.43,1,135,250,90
0.216,0.57,1,135,250,90
0.176,0.50,1,135,250,90
0.205,0.57,1,135,250,90
0.36,0.25,1,135,250,90
0.360,0.75,1,135,250,90
0.122,0.43,1,135,250,90
0.108,0.39,1,135,250,90
0.306,0.68,1,135,250,90
0.144,0.46,1,135,250,90
0.280,0.64,1,135,250,90
0.43,0.25,1,135,250,90
0.68,0.32,1,135,250,90
0.43,0.25,1,135,250,90
0.21,0.18,1,135,250,90
0.280,0.64,1,135,250,90
0.280,0.64,1,135,250,90
0.14,0.14,1,135,250,90
0.162,0.50,1,135,250,90
0.338,0.72,1,135,250,90
0.14,0.14,1,135,250,90
0.82,0.36,1,135,250,90
0.14,0.14,1,135,250,90
0.126,0.43,1,135,250,90
0.374,0.75,1,135,250,90
0.118,0.43,1,135,250,90
0.154,0.46,1,135,250,90
0.43,0.25,1,135,250,90
0.86,0.36,1,135,250,90
0.280,0.64,1,135,250,90
0.86,0.36,1,135,250,90
0.147,0.46,1,135,250,90
0.129,0.43,1,135,250,90
0.118,0.43,1,135,250,90
0.352,0.72,1,135,250,90
0.54,0.28,1,135,250,90
0.104,0.39,1,135,250,90
0.219,0.57,1,135,250,90
0.151,0.46,1,135,250,90
0.270,0.64,1,135,250,90
0.57,0.28,1,135,250,90
0.25,0.18,1,135,250,90
0.10,0.14,1,135,250,90
0.342,0.72,1,135,250,90
0.07,0.10,1,135,250,90
0.28,0.21,1,135,250,90
0.291,0.64,1,135,250,90
0.226,0.57,1,135,250,90
0.244,0.61,1,135,250,90
0.252,0.61,1,135,250,90
0.298,0.68,1,135,250,90
0.295,0.64,1,135,250,90
0.108,0.39,1,135,250,90
0.262,0.61,1,135,250,90
0.21,0.18,1,135,250,90
0.252,0.61,1,135,250,90
0.338,0.72,1,135,250,90
0.374,0.75,1,135,250,90
0.252,0.61,1,135,250,90
0.21,0.18,1,135,250,90
0.03,0.07,1,135,250,90
0.82,0.36,1,135,250,90
0.21,0.18,1,135,250,90
0.28,0.21,2,67,250,90
0.334,0.72,1,135,250,90
0.140,0.46,1,135,250,90
0.03,0.07,1,135,250,90
0.320,0.68,1,135,250,90
0.82,0.36,1,135,250,90
0.212,0.57,1,135,250,90
0.122,0.43,1,135,250,90
0.140,0.46,1,135,250,90
0.57,0.28,1,135,250,90
0.144,0.46,1,135,250,90
0.21,0.18,1,135,250,90
0.97,0.39,1,135,250,90
0.349,0.72,1,135,250,90
0.162,0.50,1,135,250,90
0.219,0.57,1,135,250,90
0.352,0.72,1,135,250,90
0.324,0.72,1,135,250,90
0.68,0.32,1,135,250,90
0.255,0.61,1,135,250,90
0.363,0.75,1,135,250,90
0.82,0.36,1,135,250,90
0.244,0.61,1,135,250,90
0.248,0.61,1,135,250,90
0.21,0.18,1,135,250,90
0.363,0.75,1,135,250,90
0.39,0.25,1,135,250,90
0.86,0.36,1,135,250,90
0.248,0.61,1,135,250,90
0.298,0.68,1,135,250,90
0.234,0.61,1,135,250,90
0.82,0.36,1,135,250,90
0.61,0.28,1,135,250,90
0.14,0.14,1,135,250,90
0.57,0.28,1,135,250,90
0.262,0.61,1,135,250,90
0.97,0.39,1,135,250,90
0.219,0.57,1,135,250,90
0.100,0.39,1,135,250,90
0.68,0.32,1,135,250,90
0.230,0.57,1,135,250,90
0.46,0.25,1,135,250,90
0.190,0.54,1,135,250,90
0.360,0.75,1,135,250,90
0.208,0.57,1,135,250,90
0.03,0.07,1,135,250,90
0.270,0.64,1,135,250,90
0.136,0.46,1,135,250,90
0.198,0.54,2,67,250,90
0.385,0.79,2,67,250,90
0.39,0.25,1,135,250,90
0.111,0.39,2,67,250,90
0.205,0.57,1,135,250,90
0.244,0.61,2,67,250,90
0.223,0.57,1,135,250,90
0.151,0.46,2,67,250,90
